aircraft_id,tail_number,manufacturer,model,age
5332,N539EA,CANADAIR REGIONAL JET,CRJ,13
5333,N9008U,BOEING,737,56
5334,N128DU,AIRBUS,A220,5
5335,N919US,AIRBUS,A321,9
5336,N451UA,AIRBUS,A320,26
5337,N77012,BOEING,777,25
5338,N284NV,AIRBUS,A320,12
5339,N377DE,BOEING,737 NG,10
5340,N251SY,EMBRAER,170/175,8
5341,N451WN,BOEING,737 NG,20
5342,N998AT,BOEING,717,22
5343,N407UA,AIRBUS,A320,31
5344,N8698B,BOEING,737 NG,8
5345,N925AT,BOEING,717,24
5346,N26909,BOEING,787,11
5347,N978UY,AIRBUS,A321,12
5348,N9023N,AIRBUS,A319,10
5349,N315PQ,CANADAIR REGIONAL JET,CRJ,10
5350,N917UY,AIRBUS,A321,9
5351,N800SK,CANADAIR REGIONAL JET,CRJ,18
5352,N460WN,BOEING,737 NG,20
5353,N652AW,AIRBUS,A320,25
5354,N205SY,EMBRAER,170/175,7
5355,N782SK,CANADAIR REGIONAL JET,CRJ,15
5356,N36469,BOEING,737 NG,11
5357,N8577Z,BOEING,737 NG,6
5358,N768JB,AIRBUS,A320,15
5359,N950WN,BOEING,737 NG,14
5360,N752SW,BOEING,737 NG,25
5361,N882NN,BOEING,737 NG,13
5362,N516AS,BOEING,737 NG,16
5363,N414SY,EMBRAER,170/175,2
5364,N756YX,EMBRAER,170/175,2
5365,N660DL,BOEING,757,34
5366,N326RP,BOEING,737 NG,6
5367,N855RW,EMBRAER,170/175,19
5368,N8684F,BOEING,737 NG,8
5369,N629VA,AIRBUS,A320,17
5370,N751UW,AIRBUS,A319,24
5371,N610CZ,EMBRAER,170/175,17
5372,N104UW,AIRBUS,A320,25
5373,N333NB,AIRBUS,A319,23
5374,N357NB,AIRBUS,A319,22
5375,N698DL,BOEING,757,25
5376,N2060J,AIRBUS,A321,3
5377,N606NN,CANADAIR REGIONAL JET,CRJ,5
5378,N921AK,BOEING,737 NG,3
5379,N950AN,BOEING,737 NG,24
5380,N445UA,AIRBUS,A320,26
5381,N299WN,BOEING,737 NG,17
5382,N763SW,BOEING,737 NG/MAX,24
5383,N335NW,AIRBUS,A320,32
5384,N920AK,BOEING,737 NG,3
5385,N285AK,BOEING,737 NG,6
5386,N334NB,AIRBUS,A319,23
5387,N319SY,EMBRAER,170/175,2
5388,N152AA,AIRBUS,A321,9
5389,N7844A,BOEING,737 NG,18
5390,N8313F,BOEING,737 NG,12
5391,N933AM,AIRBUS,A321,7
5392,N354PT,BOEING,737 NG,7
5393,N24706,BOEING,737 NG,26
5394,N164NN,AIRBUS,A321,8
5395,N235NV,AIRBUS,A320,25
5396,N993AN,AIRBUS,A321,8
5397,N902AA,AIRBUS,A321,7
5398,N874NN,BOEING,737 NG,13
5399,N222UA,BOEING,777,23
5400,N207NV,AIRBUS,A320,11
5401,N8721J,BOEING,737 NG,6
5402,N831NW,AIRBUS,A330,7
5403,N8825Q,BOEING,737 NG,2
5404,N781WN,BOEING,737 NG,24
5405,N306JB,EMBRAER,190/195,15
5406,N69839,BOEING,737 NG,10
5407,N7749B,BOEING,737 NG,15
5408,N553UW,AIRBUS,A321,13
5409,N37518,BOEING,737 NG,5
