aircraft_id,tail_number,manufacturer,model,age
448,N854NN,BOEING,737 NG,14
449,N717TW,BOEING,757,25
450,N948AN,BOEING,737 NG,24
451,N131DU,AIRBUS,A220,4
452,N615JB,AIRBUS,A320,19
453,N331NV,AIRBUS,A319,19
454,N229NV,AIRBUS,A320,27
455,N344DN,AIRBUS,A321,6
456,N76516,BOEING,737 NG,16
457,N6713Y,BOEING,757,24
458,N840SK,CANADAIR REGIONAL JET,CRJ,3
459,N910WN,BOEING,737 NG,16
460,N453YX,EMBRAER,170/175,3
461,N744YX,EMBRAER,170/175,7
462,N254WN,BOEING,737 NG,18
463,N8787K,BOEING,737 NG,2
464,N128SY,EMBRAER,170/175,10
465,N913XJ,CANADAIR REGIONAL JET,CRJ,16
466,N897NN,BOEING,737 NG,12
467,N522NK,AIRBUS,A319,18
468,N413YX,EMBRAER,170/175,11
469,N317AS,BOEING,737 NG,21
470,N821DN,BOEING,737 NG,10
471,N914WN,BOEING,737 NG,16
472,N8976E,CANADAIR REGIONAL JET,CRJ,20
473,N8933B,CANADAIR REGIONAL JET,CRJ,20
474,N967WN,BOEING,737 NG,13
475,N76269,BOEING,737 NG,23
476,N112DU,AIRBUS,A220,5
477,N27253,BOEING,737 NG,3
478,N359DN,AIRBUS,A321,6
479,N573DZ,AIRBUS,A350,6
480,N107SY,EMBRAER,170/175,10
481,N901NN,BOEING,737 NG,12
482,N7841A,BOEING,737 NG,23
483,N316NV,AIRBUS,A319,19
484,N822AN,BOEING,787,8
485,N513AE,CANADAIR REGIONAL JET,CRJ,21
486,N206WN,BOEING,737 NG,19
487,N189UW,AIRBUS,A321,23
488,N107NN,AIRBUS,A321,10
489,N78001,BOEING,777,26
490,N715JB,AIRBUS,A320,16
491,N207SY,EMBRAER,170/175,7
492,N922XJ,CANADAIR REGIONAL JET,CRJ,16
493,N342NW,AIRBUS,A320,32
494,N977AT,BOEING,717,22
495,N139AN,AIRBUS,A321,9
496,N443WN,BOEING,737 NG,21
497,N19117,BOEING,757,28
498,N873UA,AIRBUS,A319,21
499,N66803,BOEING,737 NG,11
500,N901NK,AIRBUS,A320,8
501,N977UY,AIRBUS,A321,12
502,N803NN,BOEING,737 NG,15
503,N350RV,BOEING,737 NG,6
