airport_id,airport_code,city_name
186,ELM,"Elmira/Corning, NY"
187,PVD,"Providence, RI"
188,ACT,"Waco, TX"
189,PLN,"Pellston, MI"
190,XWA,"Williston, ND"
191,HTS,"Ashland, WV"
192,BLI,"Bellingham, WA"
193,CDC,"Cedar City, UT"
194,TLH,"Tallahassee, FL"
195,GRI,"Grand Island, NE"
196,CMX,"Hancock/Houghton, MI"
197,PVU,"Provo, UT"
198,BIL,"Billings, MT"
199,JLN,"Joplin, MO"
200,ITH,"Ithaca/Cortland, NY"
201,PAE,"Everett, WA"
202,YAK,"Yakutat, AK"
203,SDF,"Louisville, KY"
204,ORH,"Worcester, MA"
205,RDD,"Redding, CA"
206,TRI,"Bristol/Johnson City/Kingsport, TN"
207,PBI,"West Palm Beach/Palm Beach, FL"
208,IND,"Indianapolis, IN"
209,RIW,"Riverton/Lander, WY"
210,CHA,"Chattanooga, TN"
211,BQN,"Aguadilla, PR"
212,LAS,"Las Vegas, NV"
213,CWA,"Mosinee, WI"
214,BOI,"Boise, ID"
215,GUC,"Gunnison, CO"
216,BFL,"Bakersfield, CA"
217,ABE,"Allentown/Bethlehem/Easton, PA"
218,BRO,"Brownsville, TX"
219,DTW,"Detroit, MI"
220,AVL,"Asheville, NC"
221,TTN,"Trenton, NJ"
222,ABI,"Abilene, TX"
223,LAX,"Los Angeles, CA"
224,BJI,"Bemidji, MN"
225,GSP,"Greer, SC"
226,LBE,"Latrobe, PA"
227,DLH,"Duluth, MN"
228,GPT,"Gulfport/Biloxi, MS"
229,SCC,"Deadhorse, AK"
230,EUG,"Eugene, OR"
231,PNS,"Pensacola, FL"
232,PIE,"St. Petersburg, FL"
233,CDV,"Cordova, AK"
234,LSE,"La Crosse, WI"
235,EKO,"Elko, NV"
236,MLU,"Monroe, LA"
237,SRQ,"Sarasota/Bradenton, FL"
238,DAB,"Daytona Beach, FL"
239,RNO,"Reno, NV"
240,MGM,"Montgomery, AL"
241,SIT,"Sitka, AK"
242,RSW,"Fort Myers, FL"
243,MRY,"Monterey, CA"
244,DIK,"Dickinson, ND"
245,MOT,"Minot, ND"
246,MAF,"Midland/Odessa, TX"
247,LBB,"Lubbock, TX"
248,MDT,"Harrisburg, PA"
249,XNA,"Fayetteville, AR"
250,DSM,"Des Moines, IA"
251,SBP,"San Luis Obispo, CA"
252,VCT,"Victoria, TX"
253,BRD,"Brainerd, MN"
254,CLL,"College Station/Bryan, TX"
255,RDU,"Raleigh/Durham, NC"
256,DAL,"Dallas, TX"
257,STL,"St. Louis, MO"
258,CKB,"Clarksburg/Fairmont, WV"
259,FAI,"Fairbanks, AK"
260,HIB,"Hibbing, MN"
261,CSG,"Columbus, GA"
262,IMT,"Iron Mountain/Kingsfd, MI"
263,ROC,"Rochester, NY"
264,SNA,"Santa Ana, CA"
265,VPS,"Valparaiso, FL"
266,MYR,"Myrtle Beach, SC"
267,DFW,"Dallas/Fort Worth, TX"
268,VEL,"Vernal, UT"
269,ECP,"Panama City, FL"
270,SUN,"Sun Valley/Hailey/Ketchum, ID"
271,MFE,"Mission/McAllen/Edinburg, TX"
272,MLB,"Melbourne, FL"
273,SEA,"Seattle, WA"
274,GCC,"Gillette, WY"
275,MSP,"Minneapolis, MN"
276,JAN,"Jackson/Vicksburg, MS"
277,PGV,"Greenville, NC"
278,LAN,"Lansing, MI"
279,PSP,"Palm Springs, CA"
280,TUL,"Tulsa, OK"
281,BUR,"Burbank, CA"
282,MSY,"New Orleans, LA"
283,STT,"Charlotte Amalie, VI"
284,ORD,"Chicago, IL"
285,MHK,"Manhattan/Ft. Riley, KS"
286,OAK,"Oakland, CA"
287,ADK,"Adak Island, AK"
288,MFR,"Medford, OR"
289,SJC,"San Jose, CA"
290,BUF,"Buffalo, NY"
291,GTF,"Great Falls, MT"
292,BDL,"Hartford, CT"
293,FSD,"Sioux Falls, SD"
294,CLE,"Cleveland, OH"
295,MSN,"Madison, WI"
296,EVV,"Evansville, IN"
297,BPT,"Beaumont/Port Arthur, TX"
298,MSO,"Missoula, MT"
299,AUS,"Austin, TX"
300,SBN,"South Bend, IN"
301,IAH,"Houston, TX"
302,BTV,"Burlington, VT"
303,LIH,"Lihue, HI"
304,HRL,"Harlingen/San Benito, TX"
305,BET,"Bethel, AK"
306,GEG,"Spokane, WA"
307,HNL,"Honolulu, HI"
308,BGM,"Binghamton, NY"
309,TPA,"Tampa, FL"
310,RAP,"Rapid City, SD"
311,CHO,"Charlottesville, VA"
312,ROW,"Roswell, NM"
313,CVG,"Cincinnati, OH"
314,HLN,"Helena, MT"
315,SAT,"San Antonio, TX"
316,CMH,"Columbus, OH"
